Yorum;Etiket
"arkadaslar film bence cok güzel su anda gidilebilecek en iyi film izlemenizi tavsiye ederim.. 
";positive
"mükemmel bir film ve sonu enfes. mutlaka izleyin, pisman olmazsiniz. rejimler ne olursa olsun, olan insana ve insanin duygularina oluyor.. 
";positive
"epey bi uzak durun diyorum..bu ne ya iyice cilkini çikarmislar..adam yaratigi yaratik kadini ...nasil bir duyguyla yazmislarsa senaryoyu artik..... 
";negative
"sürükleyici bir aksiyon, özellikle sonu çok sasirtici ve acikliydi.. 
";positive
"hayatimda izledigim en berbat filmdi gerçekten tamamen zaman kaybi...oyunculuk,müzik,görüntüler hersey çok kötüydü...kimseye tavsiye etmem.... 
";negative
son zamanlarda gösterimde olan en ii filmdi bence.konusu siradan olabilir ama will smith'in oyunculukta mükemmel derecedeki basarisi ve vampir animasyonlar siradanliktan uzaklastirmis.kesinlikle sinemada izlenmesi gerek,çünkü ilk 60 dk temposu düsük bir film..;positive
"gerek kurgusu gerek seneryosu,soundtrack ve oyunculariyla izledigim en iyi filmlerden tarantinonun ise en iyi filmi diyebilirim.tek kelimeyle mükemmel.son sahnesindeki müzik ile de (surf rider) beni benden almistir.. 
";positive
dahi yönetmen christopher nolan'in zirveye çiktigi filmdir. filmdeki kurgu oyunculuk senaryo hersey ama hersey dört dörtlük. mutlaka ama mutlaka izleyiniz. 10.;positive
"çok sükür ki artik tekrar vizyona izlenmeye deger filmler girio bunlardan biri süper arkadaslar mutlaka izleyin. 
";positive
"ben bu filmu uzlemek istiyorum ama bulamiyorum bana yardim edermisiniz lutfn cildircam ya bu film gibisi varmi ya ama izliyemiorum yrd yrd solerseniz sevinirim arkadaslar. 
";negative
"ilk bakista orta yaslilar tarzi gibi görünsede genç ve genç kalanlarin filmi bence.film daha ilk sahnesinde basliyor insani güldürmeye bizde o yaslarda böyle çilginlik yaparmiyiz acaba. 
";positive
arkadaslar inanilmaz bi film bence ozellikle konusu geregi biran bile duragan sahnesi yok ozellikle muzikleri costurucu senaryo oyunculuk cok saglam beklentilerinizi rahatlikla karsilayan zevk alarak izliyeceginiz bifilm siddetle tavsiye ediyorum .5.;positive
sanirim 6-7 defa izledim en az bir o kadar daha izleyecegimede eminim.. film her açidan mükemmel.. izlemeyenlere kesinlikle tavsiye ediyorum...;positive
"sicak bir film .yarisirken illada kazanmak gerekmedigi bazen katilmanin bile yeterli oldunu anlatan tatli bir filmdi,hele dede mazhar alonson a benzemyiosa ben neolayim adami resmen mazhar diye seyrettim 
";positive
"kesinlikle berbat bir filmdi. 'sonu gelse' dedim tüm film boyunca. zaman doldurmak için bile izlenebilecek bir film degil bence.... 
";negative
"bir film bu kadar sikici ve anlasilmaz olabilir sizi içinize çekemiyor ve en sonunda sizi filmden kopariyor para verip izlenilcek bir film degil. 
";negative
"liv tyler hatirina dahi olsa izlenmiyecek ,bosuna vakit kaybedilmeyecek filmlerden birisi.manasiz,anlamsiz bir film.(:( 
";negative
"insana kendini film süresinde bi iskoç gibi hissettiren mel gibson filmin konusu, müzigi ve oyuncugu ile insni kendisiyle beraber savas meydanlarina çikariyor adeda tek kelimeyle mükemmel bir film.insanin mücadele gücünü kalmadigi durumlarda kendini hirslandirmasi için sik sik izlenmeli bence.. 
";positive
"son yillarda izledigim en güzel, en romantik, insnain içini kabartan en hos filmdi. oyunculuklar güzeldi, robin williamsi anlatmaya kelimeler yetmez bence. her filiminde ayri bir oyuncluk dersi veriyor. böyle güzel bir filmin bu kadar az ilgi görmesi üzücü. herkes izlemeli bence.. 
";positive
"çok güzel bir filim. kurgusu mükemmel. mutlaka izleyin.... 
";positive
"gerçekten mükemmel bir film.. izlenilmesi kesinlikle tavsiye edilir. klasik vampir filmlerinin çok disinda.. adeta sizi farkli bir dünyaya götürüyor.. anlatilanlarin hepsinin gerçekdisi oldugunu biliyorsunuz fakat yine de anlatilanlar hosunuza gidiyor... . 
";positive
"çagri filminin savas filmleri kategorisine konmasina bir anlam veremedigimi belirterek; tüm zamanlarin en iyi yapimlarindan biri oldugunu düsünüyorum.. 
";positive
"film beklenenlerin üzerinde degil ama yapit ve anlatilmak istenen olaylar güzel ve gelecek dünyamizin sonunu insanlarin kendi elleriyle getirecegini çok güzel açikliyan bir film... 
";positive
"bu küfüre niye bu kadar taktiniz anlamiyorum.eglenceli komik bir film.filmlere çok önyargili yaklasiyoruz.filmden ne bekliyoruz anlamiyorum.. 
";positive
"türk sinemasi yillar geçtikçe daha da geriliyor yazik. 
";negative
"dev oyuncularin yer aldigi ancak temanin güçlü bi sekilde verilememesinden ötürü sig kalmis bir film..müjdat gezenin oyunculugunu daha bi vurgulu seyredioruz.bence sinema degilde bir tv filmi olmaliydi... 
";negative
"çok kötü , klise bir hikaye , felaket bir komedi .... 
";negative
"gerilim harikaydi son zamanlarda çikan en saglam korku filmlerinden biri tavsiye ederim.. 
";positive
"çokkk vasat bir film zaten eski filmleri pasta yapip tekrar sunmalari çok kötüüüüüü. 
";negative
"ya birakin bu filme güzel diyenin ben mizah anlayisindan süphe ederim hayatimda izledigim en igrenç filmdi bence bosa izleyipte vakit kaybetmeyin.. 
";negative
"hayatimda bu kadar kötü bir film izlemedim. gerçekten çok ama çok kötüydü. yaziklar olsun çekenlere. bu filmi izlerken ne amaçla çektiklerini çok merak ettim. bence tek çikarli olan adam sözün bittigi yer iste tam olarak burasi.sakin izlemeyin vaktinizi ziyan etmeyin kardeslerim.. 
";negative
"bu filmi izleyeceginize fashion tv izleyin ayni sey birbirlerinden tek farki fashion tv deki mankenler super 
";negative
gerçekten klasiklerden biri.ilk basta john trovoltanin ölmesini bir yere bagliyamamistim sonra adam tövbe edip ilagi adelet diyip birakinca anladim cok ince msj i. birakan yasior dwm eden öldü.gerçekten güsel 1 filmdi.;positive
"yazari yeter desem oyunculara ve yönetmene ayip etmis olurum.güzel degil çok güzel.. 
";positive
"kesinlikle igrenç bir film sinemadakilerin hiçbiride begenmedi. basit.. 
";negative
"filmin havasi anlatim tarzi çok hos. unultulmaya baslayan bir meslege hayranlik duyuyor insan.oyunculuklar zaten süper. sinema da bu kadar göz boyayan film varken bu film hem felsefe yapip hem de akici olabiliyor.ben ce bu kadar kisi lütfedip puan veriyorsa bu puani da hakediyordur.. 
";positive
valla 5 in çekimlerine bile baslanmis,4.seri gelsede izlesek artik ya iyice merak etmeye basladim..;negative
"fragmanina ya da afisine aldanmayin, berbat bir film.. sinemaya verdiginiz paraya yazik.... 
";negative
"sinema salonuna ilk girisimdi ve izledigim ilk filmdi oldukça duygulanmistim. sanirim bu film sayesinde sinemayi sevmeye basldim. . 
";positive
"berbat bi filmdi sadece zaman kaybi.... 
";negative
"film gayet güzel ve basarili, kesinlikle gidilmesi gereken bi film. gerilim, aksiyon, dram hepsini bulabileciginiz bir film  
";positive
